Robots 10
-58.096295 -40.989675 -0.175500
-13.088532 34.619661 2.500000
-39.520106 37.749569 -0.044772
-13.819340 -51.439446 2.500000
34.717545 -48.757239 0.168027
33.761420 31.686073 2.500000
-10.897180 -39.635601 0.188184
34.149193 -9.994990 2.500000
-56.148213 -1.742070 -0.042787
17.141258 -8.970936 2.500000
55.742311 -46.516828 2.939535
-8.542297 -21.641927 2.500000
9.163850 37.302144 -1.461096
58.282920 -8.901736 2.500000
-15.647876 8.334445 0.108639
-51.567005 -22.100560 2.500000
56.288486 31.783534 1.839973
-19.858038 13.553642 2.500000
26.548693 39.779776 3.170681
13.274261 -42.128217 2.500000
