Robots 10
25.283886 23.925448 1.876787
18.498119 34.600985 2.500000
18.135717 19.911996 1.849362
37.100335 34.299819 2.500000
32.121263 -14.579815 -2.340937
30.284506 -28.039124 2.500000
10.052107 -33.397238 0.386777
30.938874 -39.634706 2.500000
-33.674641 -10.008920 -1.184216
-26.286169 -23.236659 2.500000
-13.609234 -32.369004 2.919238
-38.751353 -28.459908 2.500000
-26.083350 6.238017 1.298233
-28.891218 38.876435 2.500000
-27.598808 22.647744 0.935781
-1.722669 26.425408 2.500000
18.528512 -3.396086 -1.624464
4.221205 -26.954923 2.500000
-1.352802 -18.820970 0.216008
5.093525 -2.374741 2.500000
