Robots 10
-36.219803 11.775684 1.669197
-27.338698 20.434305 2.500000
-35.431260 35.701251 0.108592
-23.359559 3.164737 2.500000
34.877958 -3.960252 3.078050
18.051784 5.642106 2.500000
36.434614 9.727875 -1.560738
8.156939 3.673844 2.500000
32.290244 -35.843947 3.123475
14.207104 -28.404929 2.500000
35.249511 -11.813670 3.146990
-0.623477 -36.013113 2.500000
5.333421 36.293902 2.958244
-3.796154 17.417933 2.500000
4.214288 21.035766 1.407717
28.720086 36.424104 2.500000
-32.339666 -28.038446 -0.163013
-11.721353 -7.281252 2.500000
-12.246207 -21.517776 2.811243
-34.461752 -12.600036 2.500000
